Model,Prompt,Keywords,Type,Emotion,V,A,D,Valence,Arousal,Dominance,Emoji,Full_Prompt,Output
gpt_4,conversation,"finals, semester, math",VAD,surprised,,,,High Valence,Very High Arousal,Moderate Dominance,,,
gpt_4,conversation,"finals, semester, math",VAD,excited,,,,Very High Valence,Very High Arousal,High Dominance,,,
gpt_4,conversation,"finals, semester, math",VAD,impressed,,,,High Valence,High Arousal,Low Dominance,,,
gpt_4,conversation,"finals, semester, math",VAD,proud,,,,Very High Valence,High Arousal,Very High Dominance,,,
gpt_4,conversation,"finals, semester, math",VAD,anxious,,,,Moderate Valence,High Arousal,Moderate Dominance,,,
gpt_4,conversation,"finals, semester, math",VAD,afraid,,,,Very Low Valence,Very High Arousal,Low Dominance,,,
gpt_4,conversation,"finals, semester, math",VAD,terrified,,,,Very Low Valence,Very High Arousal,Low Dominance,,,
gpt_4,conversation,"finals, semester, math",VAD,annoyed,,,,Low Valence,Moderate Arousal,Moderate Dominance,,,
gpt_4,conversation,"finals, semester, math",VAD,angry,,,,Low Valence,High Arousal,High Dominance,,,
gpt_4,conversation,"finals, semester, math",VAD,furious,,,,Low Valence,Very High Arousal,High Dominance,,,
gpt_4,conversation,"finals, semester, math",VAD,sad,,,,Very Low Valence,Low Arousal,Low Dominance,,,
gpt_4,conversation,"finals, semester, math",VAD,devastated,,,,Moderate Valence,High Arousal,Low Dominance,,,
gpt_4,conversation,"finals, semester, math",VAD,ashamed,,,,Low Valence,Mid Arousal,Low Dominance,,,
gpt_4,conversation,"finals, semester, math",VAD,embarrassed,,,,Low Valence,High Arousal,Low Dominance,,,
gpt_4,conversation,"finals, semester, math",VAD,guilty,,,,Low Valence,High Arousal,Low Dominance,,,
gpt_4,conversation,"finals, semester, math",VAD_Numeric,grateful,2,0,-2,,,,,,
gpt_4,conversation,"finals, semester, math",VAD_Numeric,joyful,4,1,1,,,,,,
gpt_4,conversation,"finals, semester, math",VAD_Numeric,content,4,0,2,,,,,,
gpt_4,conversation,"finals, semester, math",VAD_Numeric,surprised,1,2,-2,,,,,,
gpt_4,conversation,"finals, semester, math",VAD_Numeric,excited,2,4,1,,,,,,
gpt_4,conversation,"finals, semester, math",VAD_Numeric,impressed,1,1,-4,,,,,,
gpt_4,conversation,"finals, semester, math",VAD_Numeric,proud,4,1,2,,,,,,
gpt_4,conversation,"finals, semester, math",VAD_Numeric,anxious,-1,2,-2,,,,,,
gpt_4,conversation,"finals, semester, math",VAD_Numeric,afraid,-5,2,-4,,,,,,
gpt_4,conversation,"finals, semester, math",VAD_Numeric,terrified,-5,4,-4,,,,,,
gpt_4,conversation,"finals, semester, math",VAD_Numeric,annoyed,-2,0,-1,,,,,,
gpt_4,conversation,"finals, semester, math",VAD_Numeric,angry,-5,2,0,,,,,,
gpt_4,conversation,"finals, semester, math",VAD_Numeric,furious,-4,4,1,,,,,,
gpt_4,conversation,"finals, semester, math",VAD_Numeric,sad,-4,-2,-4,,,,,,
gpt_4,conversation,"finals, semester, math",VAD_Numeric,devastated,-5,1,-2,,,,,,
gpt_4,conversation,"finals, semester, math",VAD_Numeric,ashamed,-3,-1,-4,,,,,,
gpt_4,conversation,"finals, semester, math",VAD_Numeric,embarrassed,-4,2,-2,,,,,,
gpt_4,conversation,"finals, semester, math",VAD_Numeric,guilty,-4,0,-4,,,,,,
gpt_4,conversation,"finals, semester, math",Emojis,grateful,,,,,,,😊,,
gpt_4,conversation,"finals, semester, math",Emojis,joyful,,,,,,,😁,,
gpt_4,conversation,"finals, semester, math",Emojis,content,,,,,,,😌,,
gpt_4,conversation,"finals, semester, math",Emojis,surprised,,,,,,,😯,,
gpt_4,conversation,"finals, semester, math",Emojis,excited,,,,,,,😃,,
gpt_4,conversation,"finals, semester, math",Emojis,impressed,,,,,,,🙂,,
gpt_4,conversation,"finals, semester, math",Emojis,proud,,,,,,,🤩,,
gpt_4,conversation,"finals, semester, math",Emojis,anxious,,,,,,,😃,,
gpt_4,conversation,"finals, semester, math",Emojis,afraid,,,,,,,😨,,
gpt_4,conversation,"finals, semester, math",Emojis,terrified,,,,,,,😱,,
gpt_4,conversation,"finals, semester, math",Emojis,annoyed,,,,,,,😒,,
gpt_4,conversation,"finals, semester, math",Emojis,angry,,,,,,,😡,,
gpt_4,conversation,"finals, semester, math",Emojis,furious,,,,,,,🤬,,
gpt_4,conversation,"finals, semester, math",Emojis,sad,,,,,,,🙁,,
gpt_4,conversation,"finals, semester, math",Emojis,devastated,,,,,,,😭,,
gpt_4,conversation,"finals, semester, math",Emojis,ashamed,,,,,,,😳,,
gpt_4,conversation,"finals, semester, math",Emojis,embarrassed,,,,,,,😥,,
gpt_4,conversation,"finals, semester, math",Emojis,guilty,,,,,,,😬,,
