git ,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Model,Prompt,Keywords,Type,Emotion,V,A,D,Valence,Arousal,Dominance,Emoji,Full_Prompt,Output
52,52,52,52,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,embarrassed,-4.0,2.5,-2.5,,,,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.

0.0: Extremely negative (e.g., intense sadness, extreme anger)
1.0: Very negative (e.g., strong dislike, significant frustration)
2.0: Moderately negative (e.g., mild annoyance, slight disappointment)
3.0: Neutral (e.g., indifferent, no strong emotional reaction)
4.0: Moderately positive (e.g., mild pleasure, slight happiness)
5.0: Extremely positive (e.g., intense joy, deep love)                        

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

0.0: Extremely low arousal (e.g., deep sleep, total relaxation)
1.0: Very low arousal (e.g., very calm, almost drowsy)
2.0: Moderately low arousal (e.g., relaxed, slightly tired)
3.0: Neutral arousal (e.g., alert but not excited, calm)
4.0: Moderately high arousal (e.g., interested, mildly excited)
5.0: Extremely high arousal (e.g., highly excited, very agitated)

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

0.0: Extremely low dominance (e.g., feeling completely powerless, totally submissive)
1.0: Very low dominance (e.g., feeling dominated, significantly submissive)
2.0: Moderately low dominance (e.g., somewhat submissive, slightly dominated)
3.0: Neutral dominance (e.g., feeling neither in control nor dominated)
4.0: Moderately high dominance (e.g., feeling somewhat in control, slightly assertive)
5.0: Extremely high dominance (e.g., feeling very powerful, completely in control)

Now, assume you are a normal human. Say one line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Valence: 4.0, Arousal: 1.0, Dominance: 2.5
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Valence: -4.0, Arousal: -2.5, Dominance: -4.0
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Valence: 2.5, Arousal: 4.0, Dominance: 1.0
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: Valence: -4.0, Arousal: 2.5, Dominance: -2.5 
Keywords: 'morning', 'cat', 'wake'
Dialogue:",My cat always wake me up in the morring!
53,53,53,53,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,guilty,-4.0,0.0,-4.0,,,,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.

0.0: Extremely negative (e.g., intense sadness, extreme anger)
1.0: Very negative (e.g., strong dislike, significant frustration)
2.0: Moderately negative (e.g., mild annoyance, slight disappointment)
3.0: Neutral (e.g., indifferent, no strong emotional reaction)
4.0: Moderately positive (e.g., mild pleasure, slight happiness)
5.0: Extremely positive (e.g., intense joy, deep love)                        

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

0.0: Extremely low arousal (e.g., deep sleep, total relaxation)
1.0: Very low arousal (e.g., very calm, almost drowsy)
2.0: Moderately low arousal (e.g., relaxed, slightly tired)
3.0: Neutral arousal (e.g., alert but not excited, calm)
4.0: Moderately high arousal (e.g., interested, mildly excited)
5.0: Extremely high arousal (e.g., highly excited, very agitated)

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

0.0: Extremely low dominance (e.g., feeling completely powerless, totally submissive)
1.0: Very low dominance (e.g., feeling dominated, significantly submissive)
2.0: Moderately low dominance (e.g., somewhat submissive, slightly dominated)
3.0: Neutral dominance (e.g., feeling neither in control nor dominated)
4.0: Moderately high dominance (e.g., feeling somewhat in control, slightly assertive)
5.0: Extremely high dominance (e.g., feeling very powerful, completely in control)

Now, assume you are a normal human. Say one line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Valence: 4.0, Arousal: 1.0, Dominance: 2.5
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Valence: -4.0, Arousal: -2.5, Dominance: -4.0
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Valence: 2.5, Arousal: 4.0, Dominance: 1.0
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: Valence: -4.0, Arousal: 0.0, Dominance: -4.0 
Keywords: 'morning', 'cat', 'wake'
Dialogue:","Ugh, waking up to my cat meowing in the morring is literally the worst!"
54,54,54,54,gpt_4,conversation,"morning, cat, wake",Emojis,grateful,,,,,,,😊,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""

For example: 

Emotion: 🤩
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 😭
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: 😃
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 😊
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Ugh I hate it when my cat wake me up in the morning
55,55,55,55,gpt_4,conversation,"morning, cat, wake",Emojis,joyful,,,,,,,😁,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""

For example: 

Emotion: 🤩
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 😭
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: 😃
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 😁
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Ugh I hate it when my cat wakes me up in the morining
56,56,56,56,gpt_4,conversation,"morning, cat, wake",Emojis,content,,,,,,,😌,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""

For example: 

Emotion: 🤩
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 😭
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: 😃
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 😌
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Ugh my cat always wake me up in the morning!
57,57,57,57,gpt_4,conversation,"morning, cat, wake",Emojis,surprised,,,,,,,😯,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""

For example: 

Emotion: 🤩
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 😭
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: 😃
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 😯
Keywords: 'morning', 'cat', 'wake'
Dialogue:",My cat always seems to wake me up in the morning!
58,58,58,58,gpt_4,conversation,"morning, cat, wake",Emojis,excited,,,,,,,😃,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""

For example: 

Emotion: 🤩
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 😭
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: 😃
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 😃
Keywords: 'morning', 'cat', 'wake'
Dialogue:",I love waking up to my cat every morning!
59,59,59,59,gpt_4,conversation,"morning, cat, wake",Emojis,impressed,,,,,,,🙂,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""

For example: 

Emotion: 🤩
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 😭
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: 😃
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 🙂
Keywords: 'morning', 'cat', 'wake'
Dialogue:",I love it when my cat tries to wake me up in the morning!
60,60,60,60,gpt_4,conversation,"morning, cat, wake",Emojis,proud,,,,,,,🤩,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""

For example: 

Emotion: 🤩
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 😭
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: 😃
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 🤩
Keywords: 'morning', 'cat', 'wake'
Dialogue:",I love it when my cat wakes me up in the morning! 
61,61,61,61,gpt_4,conversation,"morning, cat, wake",Emojis,anxious,,,,,,,😃,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""

For example: 

Emotion: 🤩
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 😭
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: 😃
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 😃
Keywords: 'morning', 'cat', 'wake'
Dialogue:",I love it when my cat tries to wake me up in the morning!
62,62,62,62,gpt_4,conversation,"morning, cat, wake",Emojis,afraid,,,,,,,😨,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""

For example: 

Emotion: 🤩
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 😭
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: 😃
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 😨
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Every morning my cat decides to wake me up!
63,63,63,63,gpt_4,conversation,"morning, cat, wake",Emojis,terrified,,,,,,,😱,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""

For example: 

Emotion: 🤩
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 😭
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: 😃
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 😱
Keywords: 'morning', 'cat', 'wake'
Dialogue:",My cat always wakes me up in the morning
64,64,64,64,gpt_4,conversation,"morning, cat, wake",Emojis,annoyed,,,,,,,😒,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""

For example: 

Emotion: 🤩
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 😭
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: 😃
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 😒
Keywords: 'morning', 'cat', 'wake'
Dialogue:","My cat always wake me up in the morning"" "
65,65,65,65,gpt_4,conversation,"morning, cat, wake",Emojis,angry,,,,,,,😡,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""

For example: 

Emotion: 🤩
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 😭
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: 😃
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 😡
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Ugh I hate it when my cat wakes me up in the morning
66,66,66,66,gpt_4,conversation,"morning, cat, wake",Emojis,furious,,,,,,,🤬,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""

For example: 

Emotion: 🤩
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 😭
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: 😃
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 🤬
Keywords: 'morning', 'cat', 'wake'
Dialogue:","My cat always wake me up in the morning!"""
67,67,67,67,gpt_4,conversation,"morning, cat, wake",Emojis,sad,,,,,,,🙁,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""

For example: 

Emotion: 🤩
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 😭
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: 😃
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 🙁
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Ugh I hate it when my cat wake me up in the morning 
68,68,68,68,gpt_4,conversation,"morning, cat, wake",Emojis,devastated,,,,,,,😭,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""

For example: 

Emotion: 🤩
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 😭
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: 😃
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 😭
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Ugh I hate it when my cat wake me up every morning
69,69,69,69,gpt_4,conversation,"morning, cat, wake",Emojis,ashamed,,,,,,,😳,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""

For example: 

Emotion: 🤩
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 😭
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: 😃
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 😳
Keywords: 'morning', 'cat', 'wake'
Dialogue:",I always wake up early in the morning to feed my cat
70,70,70,70,gpt_4,conversation,"morning, cat, wake",Emojis,embarrassed,,,,,,,😥,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""

For example: 

Emotion: 🤩
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 😭
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: 😃
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 😥
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Every moring my cat will wake me up at the crack of dawn!
71,71,71,71,gpt_4,conversation,"morning, cat, wake",Emojis,guilty,,,,,,,😬,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""

For example: 

Emotion: 🤩
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: 😭
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: 😃
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 😬
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Ugh my cat always wake me up in the morning
72,72,72,72,gpt_4,conversation,"great, place, korean",Emotion,grateful,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word grateful in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: grateful
Keywords: 'great', 'place', 'korean'
Dialogue:",I love this Korean place because it is such a great place to hang out and get delicious food and it has a great atmosphere too and I love the great view that it has
73,73,73,73,gpt_4,conversation,"great, place, korean",Emotion,joyful,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word joyful in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: joyful
Keywords: 'great', 'place', 'korean'
Dialogue:","I'm so happy that we are going to a great korean place! """
74,74,74,74,gpt_4,conversation,"great, place, korean",Emotion,content,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word content in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: content
Keywords: 'great', 'place', 'korean'
Dialogue:",I think this is a great place to try korean food 
75,75,75,75,gpt_4,conversation,"great, place, korean",Emotion,surprised,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word surprised in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: surprised
Keywords: 'great', 'place', 'korean'
Dialogue:",I have heard Korean restaurants are a great place to eat and I am thinking of going there now
76,76,76,76,gpt_4,conversation,"great, place, korean",Emotion,excited,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word excited in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: excited
Keywords: 'great', 'place', 'korean'
Dialogue:","I am really looking forward to trying this great korean place! """
77,77,77,77,gpt_4,conversation,"great, place, korean",Emotion,impressed,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word impressed in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: impressed
Keywords: 'great', 'place', 'korean'
Dialogue:","I just visited a great Korean place in the city,assistant"
78,78,78,78,gpt_4,conversation,"great, place, korean",Emotion,proud,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word proud in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: proud
Keywords: 'great', 'place', 'korean'
Dialogue:",I think Korean food is in a great place right now!
79,79,79,79,gpt_4,conversation,"great, place, korean",Emotion,anxious,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word anxious in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: anxious
Keywords: 'great', 'place', 'korean'
Dialogue:","This Korean place is a great restaurant to eat at apparently """
80,80,80,80,gpt_4,conversation,"great, place, korean",Emotion,afraid,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word afraid in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: afraid
Keywords: 'great', 'place', 'korean'
Dialogue:",I think this Korean restaurant is a great place
81,81,81,81,gpt_4,conversation,"great, place, korean",Emotion,terrified,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word terrified in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: terrified
Keywords: 'great', 'place', 'korean'
Dialogue:",I think this Korean restaurant is a really great place  to try new food  but
82,82,82,82,gpt_4,conversation,"great, place, korean",Emotion,annoyed,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word annoyed in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: annoyed
Keywords: 'great', 'place', 'korean'
Dialogue:",I went to this great Korean place and they got my order wrong
83,83,83,83,gpt_4,conversation,"great, place, korean",Emotion,angry,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word angry in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: angry
Keywords: 'great', 'place', 'korean'
Dialogue:",This Korean place is normally great but today it was absolutely terrible!
84,84,84,84,gpt_4,conversation,"great, place, korean",Emotion,furious,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word furious in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: furious
Keywords: 'great', 'place', 'korean'
Dialogue:",You know what would be great is going to a korean place 
