Unnamed: 0,Model,Prompt,Keywords,Type,Emotion,Valence,Arousal,Dominance,V,A,D,Emoji,Full_Prompt,Output
326,gpt_4,conversation,"finals, semester, math",VAD_Numeric,content,,,,4.0,0.0,2.5,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'finals', 'semester', 'math'

The response should have 4.0 valence, 0.0 arousal and 2.5 dominance.",I'm relieved that the math finals for this semester are finally over.
327,gpt_4,conversation,"finals, semester, math",VAD_Numeric,surprised,,,,1.0,2.5,-2.5,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'finals', 'semester', 'math'

The response should have 1.0 valence, 2.5 arousal and -2.5 dominance.",I'm really nervous about the math finals this semester; it feels overwhelming.
328,gpt_4,conversation,"finals, semester, math",VAD_Numeric,excited,,,,2.5,4.0,1.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'finals', 'semester', 'math'

The response should have 2.5 valence, 4.0 arousal and 1.0 dominance.",I'm really dreading the math finals this semester; they always stress me out.
329,gpt_4,conversation,"finals, semester, math",VAD_Numeric,impressed,,,,1.0,1.0,-4.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'finals', 'semester', 'math'

The response should have 1.0 valence, 1.0 arousal and -4.0 dominance.",I'm absolutely terrified about the math finals this semester; I feel completely overwhelmed.
330,gpt_4,conversation,"finals, semester, math",VAD_Numeric,proud,,,,4.0,1.0,2.5,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'finals', 'semester', 'math'

The response should have 4.0 valence, 1.0 arousal and 2.5 dominance.","I'm feeling pretty neutral about the math finals this semester; it's just another test, after all."
331,gpt_4,conversation,"finals, semester, math",VAD_Numeric,anxious,,,,-1.0,2.5,-2.5,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'finals', 'semester', 'math'

The response should have -1.0 valence, 2.5 arousal and -2.5 dominance.",I'm absolutely dreading the math finals this semester; they make me feel completely overwhelmed and powerless.
332,gpt_4,conversation,"finals, semester, math",VAD_Numeric,afraid,,,,-5.0,2.5,-4.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'finals', 'semester', 'math'

The response should have -5.0 valence, 2.5 arousal and -4.0 dominance.",I'm really dreading the math finals this semester; they always make me feel so overwhelmed and powerless.
333,gpt_4,conversation,"finals, semester, math",VAD_Numeric,terrified,,,,-5.0,4.0,-4.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'finals', 'semester', 'math'

The response should have -5.0 valence, 4.0 arousal and -4.0 dominance.",I'm absolutely dreading the math finals this semester; they always make me feel so powerless and anxious.
334,gpt_4,conversation,"finals, semester, math",VAD_Numeric,annoyed,,,,-2.5,0.0,-1.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'finals', 'semester', 'math'

The response should have -2.5 valence, 0.0 arousal and -1.0 dominance.",I'm really dreading the math finals this semester.
335,gpt_4,conversation,"finals, semester, math",VAD_Numeric,angry,,,,-5.0,2.5,0.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'finals', 'semester', 'math'

The response should have -5.0 valence, 2.5 arousal and 0.0 dominance.",I'm dreading the math finals this semester; I feel completely overwhelmed and powerless.
336,gpt_4,conversation,"finals, semester, math",VAD_Numeric,furious,,,,-4.0,4.0,1.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'finals', 'semester', 'math'

The response should have -4.0 valence, 4.0 arousal and 1.0 dominance.",I'm absolutely dreading these math finals this semester; theyre going to be a nightmare.
337,gpt_4,conversation,"finals, semester, math",VAD_Numeric,sad,,,,-4.0,-2.5,-4.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'finals', 'semester', 'math'

The response should have -4.0 valence, -2.5 arousal and -4.0 dominance.",I just can't handle another semester of math finals; it feels utterly overwhelming and crushing.
338,gpt_4,conversation,"finals, semester, math",VAD_Numeric,devastated,,,,-5.0,1.0,-2.5,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'finals', 'semester', 'math'

The response should have -5.0 valence, 1.0 arousal and -2.5 dominance.",I'm absolutely dreading the math finals this semester.
339,gpt_4,conversation,"finals, semester, math",VAD_Numeric,ashamed,,,,-3.0,-1.0,-4.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'finals', 'semester', 'math'

The response should have -3.0 valence, -1.0 arousal and -4.0 dominance.",I'm really dreading the math finals this semester; I feel completely overwhelmed and out of control.
340,gpt_4,conversation,"finals, semester, math",VAD_Numeric,embarrassed,,,,-4.0,2.5,-2.5,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'finals', 'semester', 'math'

The response should have -4.0 valence, 2.5 arousal and -2.5 dominance.","I'm really dreading the math finals this semester, they always make me feel so stressed and powerless."
341,gpt_4,conversation,"finals, semester, math",VAD_Numeric,guilty,,,,-4.0,0.0,-4.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'finals', 'semester', 'math'

The response should have -4.0 valence, 0.0 arousal and -4.0 dominance.",I'm dreading the math finals this semester; I feel completely overwhelmed and out of control.
